feature,effect,ancom_lfc,ancom_se,ancom_q
Acetanaerobacterium,(Intercept),-0.22604582856296637,0.32148845549973637,0.9605858793945383
Actinomyces,(Intercept),0.029529076340113192,0.32210066323014575,0.9926337278728866
Adlercreutzia,(Intercept),0.25774058341445383,0.3871919535088148,0.9605858793945383
Akkermansia,(Intercept),-0.6591912485483459,0.527959750919401,0.7354807262116696
Alistipes,(Intercept),-1.265713617308358,0.6419902392572264,0.3773490811956549
Anaerococcus,(Intercept),0.6666762188850074,0.68438796693221,0.8420348558127668
Anaerofilum,(Intercept),-0.20100918199060466,0.3543611277668407,0.9605858793945383
Anaerostipes,(Intercept),1.0275323865012242,0.4053443145262728,0.1530346294540056
Anaerotruncus,(Intercept),-1.2284417282874645,0.6700831038720912,0.39690019508285146
Bacteroides,(Intercept),-2.959727196289402,0.6332873733233894,8.049848832397893e-4
Barnesiella,(Intercept),-0.18158407793164857,0.47377143721308923,0.965165334306134
Bifidobacterium,(Intercept),0.154785957854917,0.46221536431255084,0.965165334306134
Bilophila,(Intercept),-1.7262008338042987,0.8658298697609141,0.3773490811956549
Blautia,(Intercept),0.6429910396405158,0.33749662200942077,0.39690019508285146
Butyricimonas,(Intercept),0.0235663870467907,0.3679824991512302,0.9926337278728866
Carnobacterium,(Intercept),0.7299436667056912,0.6472664475717477,0.8208832942702431
Catenibacterium,(Intercept),0.7004137542265683,0.8482716161862729,0.9321323316262838
Clostridium,(Intercept),-1.217062118309325,0.54230370762451,0.2716130110862262
Collinsella,(Intercept),-0.23715667849727431,0.5502799895842007,0.9605858793945383
Coprococcus,(Intercept),0.3567756899121909,0.43061729781903946,0.9321323316262838
Dialister,(Intercept),-0.27386202757859845,0.5251141233289812,0.9605858793945383
Dielma,(Intercept),0.1912777754741018,0.439228396283308,0.9605858793945383
Dorea,(Intercept),1.1077574353657156,0.3694179207036822,0.055856327228061685
Eggerthella,(Intercept),-1.095753114000187,0.4531967816024472,0.20229496844448056
Eisenbergiella,(Intercept),0.4945324594403966,0.7629065603027395,0.9605858793945383
Enterococcus,(Intercept),1.4985660621678532,1.286282419633027,0.7488001648847963
Erysipelatoclostridium,(Intercept),-0.7648193676313596,0.4194443510902821,0.39690019508285146
Escherichia,(Intercept),-1.4472428332206366,1.0308626989812422,0.7186205354570478
Eubacterium,(Intercept),1.2154410941481877,0.38950191380060384,0.055856327228061685
Faecalibacterium,(Intercept),-0.2746376483819831,0.5312922084629347,0.9605858793945383
Faecalitalea,(Intercept),-0.06102585064382088,0.48977489200080643,0.9926337278728866
Finegoldia,(Intercept),-4.087658819048146,1.0215933249532585,0.0075328410142013694
Flavonifractor,(Intercept),0.5739055067546766,0.40807608785505395,0.7186205354570478
Fusicatenibacter,(Intercept),0.6032023941269015,0.4749220150800021,0.7354807262116696
Gordonibacter,(Intercept),-0.10063791712221581,0.3113692467093041,0.965165334306134
Holdemanella,(Intercept),-0.2471534596556673,0.810293393558474,0.9682401904166463
Holdemania,(Intercept),-0.23371957048638986,0.4043245013600199,0.9605858793945383
Hungatella,(Intercept),0.41675642034819826,1.0750627255067255,0.965165334306134
Intestinibacter,(Intercept),-0.29998644952919795,0.5071599744746099,0.9605858793945383
Intestinimonas,(Intercept),-0.25667053734815215,0.43130531523702714,0.9605858793945383
Lachnoclostridium,(Intercept),0.02023881019850134,0.3613964304069694,0.9926337278728866
Lactobacillus,(Intercept),-0.25459701671156354,1.032848827305624,0.9926084760614609
Lactococcus,(Intercept),-0.007743683974662941,0.3765629364331055,0.9940087479185569
Marvinbryantia,(Intercept),0.3094057255901601,0.3910243743603239,0.9407838388388469
Megasphaera,(Intercept),-0.355428711415421,1.5555648476248216,0.9926337278728866
Methanobrevibacter,(Intercept),-1.1543399757770867,0.9051243693300084,0.7354807262116696
Negativicoccus,(Intercept),-0.41687515984605905,0.5952806520464524,0.9605858793945383
Odoribacter,(Intercept),-0.21318423812332757,0.43911886211235485,0.9605858793945383
Other,(Intercept),-0.025589653031424697,0.35671618018948953,0.9926337278728866
Paenibacillus,(Intercept),0.03249808218604853,0.44916061849045696,0.9926337278728866
Parabacteroides,(Intercept),-3.0668981428265565,0.6946561234035391,8.049848832397893e-4
Paraclostridium,(Intercept),-0.9329699088813577,0.777669419919126,0.7488001648847963
Parasutterella,(Intercept),-0.0916278166989842,0.44404238532458534,0.9926337278728866
Peptococcus,(Intercept),-0.024663611023088054,0.7315804594927426,0.9940087479185569
Peptoniphilus,(Intercept),-0.7440114561041073,1.2931288003784658,0.9605858793945383
Phascolarctobacterium,(Intercept),-1.7524174251010056,0.6575515282767942,0.14081027885125819
Robinsoniella,(Intercept),0.5272214630616302,0.7344279255559968,0.9605858793945383
Romboutsia,(Intercept),0.8627506339887141,0.5147475177594912,0.5198410987684592
Roseburia,(Intercept),-0.18039048649666245,0.4256557404257221,0.9605858793945383
Ruminiclostridium,(Intercept),-0.09692795529546305,0.38581834299952344,0.9926084760614609
Ruminococcus,(Intercept),0.5381954426085013,0.554407299680178,0.8420348558127668
Senegalimassilia,(Intercept),-0.2554483509005832,0.5353208354831434,0.9605858793945383
Slackia,(Intercept),-0.15940033194067918,0.4770012943596329,0.965165334306134
Solobacterium,(Intercept),0.12043794998378667,1.0792582703344993,0.9926337278728866
Streptococcus,(Intercept),0.043136698096703875,0.5104240633167383,0.9926337278728866
Subdoligranulum,(Intercept),0.03427310948925141,0.42590941462530135,0.9926337278728866
Succiniclasticum,(Intercept),-0.059163044701198375,0.6379035339297092,0.9926337278728866
